,person,name,description,abstract,birthPlaceName,lat,long,birthDate
551,http://dbpedia.org/resource/Avery_Parrish,Avery Parrish,"James Avery Parrish (January 24, 1917 – December 10, 1959) was an American jazz pianist, composer and arranger. He wrote and recorded ""After Hours"". Injuries from a bar fight in 1943 ended his career as a pianist.","James Avery Parrish (January 24, 1917 – December 10, 1959) was an American jazz pianist, composer and arranger. He wrote and recorded ""After Hours"". Injuries from a bar fight in 1943 ended his career as a pianist.","Birmingham, Alabama, US",33.5186,-86.8103,1917.0
552,http://dbpedia.org/resource/Avery_Sharpe,Avery Sharpe,"Avery Sharpe (born August 23, 1954) is an American jazz double-bassist, electric bassist, composer, educator and founder of the artist owned record label, JKNM Records, back in 1993. Sharpe has a distinguished percussive and rhythmic approach on double bass and is something to see in live performances. He incorporates the Hum-a-long(vocal scatting with the bowed bass) bass technique, popularized by Leroy “Slam” Stewart and Major “Mule” Holly, into his playing.","Avery Sharpe (born August 23, 1954) is an American jazz double-bassist, electric bassist, composer, educator and founder of the artist owned record label, JKNM Records, back in 1993. Sharpe has a distinguished percussive and rhythmic approach on double bass and is something to see in live performances. He incorporates the Hum-a-long(vocal scatting with the bowed bass) bass technique, popularized by Leroy “Slam” Stewart and Major “Mule” Holly, into his playing. Sharpe was first bought to prominence by tenor saxophonist Archie Shepp and drummer Art Blakey, but is best known for his longtime association with Piano Jazz Legend McCoy Tyner from 1980-2003. He recorded some 20 plus records with Tyner.","Valdosta, Georgia, U.S.",30.8467,-83.2831,1954.0
553,http://dbpedia.org/resource/Awa_Ly,Awa Ly,"Awa Ly (born 4 January 1977 in Paris, France) is a French singer and actress of Senegalese origin who lives in Italy.","Awa Ly (born 4 January 1977 in Paris, France) is a French singer and actress of Senegalese origin who lives in Italy.",http://dbpedia.org/resource/France,47.0,2.0,1977.0
563,http://dbpedia.org/resource/Aymée_Nuviola,Aymée Nuviola,"Aymée Regla Nuviola Suárez ( Havana, Cuba, January 8, 1973), better known as Aymée Nuviola, is a Cuban singer, pianist, composer and actress, nicknamed ""La Sonera del Mundo"". She is also known for having played Celia Cruz in the Colombian telenovela Celia.","Aymée Regla Nuviola Suárez ( Havana, Cuba, January 8, 1973), better known as Aymée Nuviola, is a Cuban singer, pianist, composer and actress, nicknamed ""La Sonera del Mundo"". She is also known for having played Celia Cruz in the Colombian telenovela Celia. She won a Grammy Award for Best Tropical Latin Album with A Journey Through Cuban Music in the 62nd Annual Grammy Awards in 2020. «Como anillo al dedo», Aymée Nuviola, winner of the Latin Grammy 2018 as the best tropical fusion album and nominated for Cubadisco 2018 in the category of dance music voices, in 2014 nominated for the Latin Grammy and Grammy G 2015 with the album «First Class to Havana» as best Salsa album and best Tropical album. She has also collaborated on multiple Grammy winning albums, the last of which was «No quiero Llanto» del Septeto Santiaguero in 2016. She was nominated for the Billboards Awards in 2010, the result of her first production in the United States""Corazón Sonero"", by three consecutive years, 2014, 2015, 2016 was nominated for the Cubadisco (Cuba) contest, as best singer-songwriter and best popular music album with the productions «En la íntimidad», «First Class to Havana» and «El regreso a La Habana» the latter produced by Sergio George. In 2014, Aymée was selected among the 25 most influential figures in Miami by the newspaper New Times, at the end of 2016, she reached # 1 on the Billboard Tropical list with the theme «Bailando todo se olvida» and she is the first Afro -Latina in the history of Spotify, in representing with her image and her music the Black History Month, of the year 2017 (annual celebration in the United States) through the Play List with the name, ""Viva Afro-Latino"".",http://dbpedia.org/resource/Cuba,22.0,-82.3833,1973.0
573,http://dbpedia.org/resource/Aynsley_Dunbar,Aynsley Dunbar,"Aynsley Thomas Dunbar (born 10 January 1946) is an English drummer. He has worked with John Mayall, Frank Zappa, Jeff Beck, Journey, Jefferson Starship, Nils Lofgren, Eric Burdon, Shuggie Otis, Ian Hunter, Lou Reed, David Bowie, Mick Ronson, Whitesnake, Pat Travers, Sammy Hagar, Michael Schenker, UFO, Michael Chapman, Jake E. Lee, Leslie West, Kathi McDonald, Keith Emerson, Mike Onesko, Herbie Mann and Flo & Eddie. Dunbar was inducted into the Rock and Roll Hall of Fame as a member of Journey in 2017.","Aynsley Thomas Dunbar (born 10 January 1946) is an English drummer. He has worked with John Mayall, Frank Zappa, Jeff Beck, Journey, Jefferson Starship, Nils Lofgren, Eric Burdon, Shuggie Otis, Ian Hunter, Lou Reed, David Bowie, Mick Ronson, Whitesnake, Pat Travers, Sammy Hagar, Michael Schenker, UFO, Michael Chapman, Jake E. Lee, Leslie West, Kathi McDonald, Keith Emerson, Mike Onesko, Herbie Mann and Flo & Eddie. Dunbar was inducted into the Rock and Roll Hall of Fame as a member of Journey in 2017.",,53.4,-2.98333,1946.0
575,http://dbpedia.org/resource/Ayça_Varlıer,Ayça Varlıer,"Ayça Elif Varlıer (born 22 June 1977) is a Turkish actress, singer, composer and TV presenter. Born in 1977 in Ankara, while she was going to high school she moved to the United States and finished her education there. She later graduated from University of Hartford Hartt School. She worked in a number of plays during her time in the US and returned to Turkey in 2000. In 2004, she got her first television role in Karım ve Annem. Her breakthrough came in 2005 with her role in Gümüş. In 2007, she got a leading role in the play Hisseli Harikalar Kumpanyası. She had her first leading role on TV in Son Bahar (2008). In 2010, for her role in the musical Leyla'nın Evi she won an Afife Theater Award, a  and a Vasfi Rıza Zobu Theater Award. In 2013, her first studio album Elif was released. In the ","Ayça Elif Varlıer (born 22 June 1977) is a Turkish actress, singer, composer and TV presenter. Born in 1977 in Ankara, while she was going to high school she moved to the United States and finished her education there. She later graduated from University of Hartford Hartt School. She worked in a number of plays during her time in the US and returned to Turkey in 2000. In 2004, she got her first television role in Karım ve Annem. Her breakthrough came in 2005 with her role in Gümüş. In 2007, she got a leading role in the play Hisseli Harikalar Kumpanyası. She had her first leading role on TV in Son Bahar (2008). In 2010, for her role in the musical Leyla'nın Evi she won an Afife Theater Award, a  and a Vasfi Rıza Zobu Theater Award. In 2013, her first studio album Elif was released. In the following years she got main roles in the movies Taş Mektep (2013), Günce (2013), Olur Olur (2014) and Mavi Gece (2015). In 2015, for her performance in the play Fosforlu'nun Hikayesi she won another Sadri Alışık Award. As of 2017, Varlıer stars in the TV series Kalk Gidelim.","Ankara, Turkey",39.93,32.85,1977.0
576,http://dbpedia.org/resource/Aziza_Mustafa_Zadeh,Aziza Mustafa Zadeh,"Aziza Mustafa Zadeh (Azerbaijani: Əzizə Mustafazadə; born December 19, 1969) is an Azerbaijani singer, pianist, and composer who plays a fusion of jazz and mugam (a traditional improvisational style of Azerbaijan) with classical and avant-garde influences.","Aziza Mustafa Zadeh (Azerbaijani: Əzizə Mustafazadə; born December 19, 1969) is an Azerbaijani singer, pianist, and composer who plays a fusion of jazz and mugam (a traditional improvisational style of Azerbaijan) with classical and avant-garde influences.",http://dbpedia.org/resource/Azerbaijan,40.3953,49.8822,1969.0
578,http://dbpedia.org/resource/Aṣa,Aṣa,"Aṣa ( ASH-ə; born Bukola Elemide 17 September 1982) is a Nigerian-French singer, songwriter, and recording artist.","Aṣa ( ASH-ə; born Bukola Elemide 17 September 1982) is a Nigerian-French singer, songwriter, and recording artist.",http://dbpedia.org/resource/France,47.0,2.0,1982.0
588,http://dbpedia.org/resource/Baard_Slagsvold,Baard Slagsvold,"Baard Henrik Slagsvold (born 31 August 1963 in Elverum, Norway) is a Norwegian pop and jazz musician (vocals, piano, double bass and drums), and are particularly known as the bassist and singer in the pop trio Tre Små Kinesere (1989–2005).","Baard Henrik Slagsvold (born 31 August 1963 in Elverum, Norway) is a Norwegian pop and jazz musician (vocals, piano, double bass and drums), and are particularly known as the bassist and singer in the pop trio Tre Små Kinesere (1989–2005).","Elverum, Hedmark, Norway",60.9275,11.7153,1963.0
590,http://dbpedia.org/resource/Badi_Assad,Badi Assad,"Badi Assad (born 23 December 1966) is a Brazilian singer, songwriter, percussionist, and guitarist in the jazz and worldbeat genres.","Badi Assad (born 23 December 1966) is a Brazilian singer, songwriter, percussionist, and guitarist in the jazz and worldbeat genres.",http://dbpedia.org/resource/São_João_da_Boa_Vista,-21.9692,-46.7981,1966.0
592,http://dbpedia.org/resource/Badun,Badun,"Badun is an electronic, experimental jazz group from Denmark, formed in Århus in 2002 by Oliver Duckert, a long time organiser and spokesperson for the electronic avantgarde movement in Denmark. Since the first Badun release in 2004, the group has had many different constellations, and has collaborated with the likes of Icarus, Damo Suzuki and . The sound of Badun, is in changing alignment with the passing of different ages, and is in many ways, a timeless approach to jazz music.","Badun is an electronic, experimental jazz group from Denmark, formed in Århus in 2002 by Oliver Duckert, a long time organiser and spokesperson for the electronic avantgarde movement in Denmark. Since the first Badun release in 2004, the group has had many different constellations, and has collaborated with the likes of Icarus, Damo Suzuki and . The sound of Badun, is in changing alignment with the passing of different ages, and is in many ways, a timeless approach to jazz music.","Copenhagen, Denmark.",55.6761,12.5683,1979.0
593,http://dbpedia.org/resource/Baluji_Shrivastav,Baluji Shrivastav,"Dhanoday Shrivastav OBE (born 21 June 1959), known professionally as Baluji Shrivastav, is an Indian/British musician and instrumentalist who plays a variety of traditional Indian instruments including the sitar, dilruba, surbahar, pakhavaj and tabla. Born in Usmanpur in Uttar Pradesh, Baluji Shrivastav began first studied music when he was sent away as a child to live and study at Ajmer Blind School after being blinded as a baby.","Dhanoday Shrivastav OBE (born 21 June 1959), known professionally as Baluji Shrivastav, is an Indian/British musician and instrumentalist who plays a variety of traditional Indian instruments including the sitar, dilruba, surbahar, pakhavaj and tabla. Born in Usmanpur in Uttar Pradesh, Baluji Shrivastav began first studied music when he was sent away as a child to live and study at Ajmer Blind School after being blinded as a baby. Shrivastav went on to graduate from University of Lucknow with a B.A. in Vocal Studies and Sitar. This was shortly followed by a further B.A. in Tabla ad an M.A. in Sitar from .","Usmanpur, Uttar Pradesh, India",26.85,80.91,1951.0
595,http://dbpedia.org/resource/Barb_Jungr,Barb Jungr,"Barb Jungr (born 9 May 1954) is an English singer and songwriter, who has recorded versions of songs by Bob Dylan, Sting, Elvis Presley, and Leonard Cohen.","Barb Jungr (born 9 May 1954) is an English singer and songwriter, who has recorded versions of songs by Bob Dylan, Sting, Elvis Presley, and Leonard Cohen.","Rochdale, Lancashire, England",53.8,-2.6,1954.0
597,http://dbpedia.org/resource/Barbara_Dennerlein,Barbara Dennerlein,"Barbara Dennerlein (born 25 September 1964 in Munich) is a German jazz organist. She has achieved particular critical acclaim for using the bass pedalboard on a Hammond organ, and for integrating synthesizer sounds onto the instrument, and was described by critic Ron Wynn as ""the most interesting jazz organist to emerge during the 1980s.""","Barbara Dennerlein (born 25 September 1964 in Munich) is a German jazz organist. She has achieved particular critical acclaim for using the bass pedalboard on a Hammond organ, and for integrating synthesizer sounds onto the instrument, and was described by critic Ron Wynn as ""the most interesting jazz organist to emerge during the 1980s.""","Munich, Germany",48.1333,11.5667,1964.0
598,http://dbpedia.org/resource/Barbara_Morrison,Barbara Morrison,"Barbara Morrison (born September 10, 1949) is an American jazz singer.","Barbara Morrison (born September 10, 1949) is an American jazz singer.","Ypsilanti, Michigan, U.S.",42.2428,-83.6183,1949.0
599,http://dbpedia.org/resource/Barbara_Thompson_(musician),Barbara Thompson,"Barbara Gracey Thompson MBE (born 27 July 1944) is an English jazz saxophonist. She studied saxophone and classical composition at the Royal College of Music, but the music of Duke Ellington and John Coltrane made her shift her interests to jazz and saxophone. She was married to drummer Jon Hiseman of Colosseum from 1967 until his death in 2018.","Barbara Gracey Thompson MBE (born 27 July 1944) is an English jazz saxophonist. She studied saxophone and classical composition at the Royal College of Music, but the music of Duke Ellington and John Coltrane made her shift her interests to jazz and saxophone. She was married to drummer Jon Hiseman of Colosseum from 1967 until his death in 2018.","Oxford, England",51.7519,-1.25778,1944.0
600,http://dbpedia.org/resource/Barney_Kessel,Barney Kessel,"Barney Kessel (October 17, 1923 – May 6, 2004) was an American jazz guitarist born in Muskogee, Oklahoma. Noted in particular for his knowledge of chords and inversions and chord-based melodies, he was a member of many prominent jazz groups as well as a ""first call"" guitarist for studio, film, and television recording sessions. Kessel was a member of the group of session musicians informally known as the Wrecking Crew.","Barney Kessel (October 17, 1923 – May 6, 2004) was an American jazz guitarist born in Muskogee, Oklahoma. Noted in particular for his knowledge of chords and inversions and chord-based melodies, he was a member of many prominent jazz groups as well as a ""first call"" guitarist for studio, film, and television recording sessions. Kessel was a member of the group of session musicians informally known as the Wrecking Crew.","Muskogee, Oklahoma, U.S.",35.75,-95.37,1923.0
601,http://dbpedia.org/resource/Barney_Rapp,Barney Rapp,"Barney Rappaport (March 25, 1900 – October 12, 1970) was an American orchestra leader and jazz musician from the 1920s to the 1940s. Rapp married Ruby Wright in 1936.","Barney Rappaport (March 25, 1900 – October 12, 1970) was an American orchestra leader and jazz musician from the 1920s to the 1940s. Rapp married Ruby Wright in 1936.","http://dbpedia.org/resource/New_Haven,_Connecticut",41.31,-72.9236,1900.0
602,http://dbpedia.org/resource/Barney_Wilen,Barney Wilen,Barney Jean Wilen (4 March 1937 – 25 May 1996) was a French tenor and soprano saxophonist and jazz composer.,Barney Jean Wilen (4 March 1937 – 25 May 1996) was a French tenor and soprano saxophonist and jazz composer.,"Nice, France",43.7034,7.2663,1937.0
603,http://dbpedia.org/resource/Barre_Phillips,Barre Phillips,"Barre Phillips (born October 27, 1934 in San Francisco, California) is a jazz bassist. A professional musician since 1960, he migrated to New York City in 1962, then to Europe in 1967. Since 1972 he has been based in southern France where in 2014 he founded the . He studied briefly in 1959 with S. Charles Siani, Assistant Principal Bassist with the San Francisco SymphonyDuring the 1960s he recorded with (among others) Eric Dolphy, Jimmy Giuffre, Archie Shepp, Peter Nero, Attila Zoller, Lee Konitz and Marion Brown.","Barre Phillips (born October 27, 1934 in San Francisco, California) is a jazz bassist. A professional musician since 1960, he migrated to New York City in 1962, then to Europe in 1967. Since 1972 he has been based in southern France where in 2014 he founded the . He studied briefly in 1959 with S. Charles Siani, Assistant Principal Bassist with the San Francisco SymphonyDuring the 1960s he recorded with (among others) Eric Dolphy, Jimmy Giuffre, Archie Shepp, Peter Nero, Attila Zoller, Lee Konitz and Marion Brown. Phillips' 1968 recording of solo bass improvisations, issued as Journal Violone in the USA, Unaccompanied Barre in England, and Basse Barre in France, is generally credited as the first solo bass record. A 1971 record with Dave Holland, Music from Two Basses, was probably the first record of improvised double bass duets. In the 1970s he was a member of the well-regarded and influential group The Trio with saxophonist John Surman and drummer Stu Martin. In the 1980s and 1990s he played regularly with the London Jazz Composers Orchestra led by fellow bassist Barry Guy. He worked on soundtracks of the motion pictures Merry-Go-Round (1981), Naked Lunch (1991, together with Ornette Coleman) and Alles was baumelt, bringt Glück! (2013). He has also worked with (among many others) bassists Peter Kowald and Joëlle Léandre, guitarist Derek Bailey, clarinetists Theo Jörgensmann and , saxophonists Peter Brötzmann, Evan Parker and Joe Maneri, and pianist Paul Bley. Barre is the father of rock guitarist Jay Crawford from the band , of the bassist Dave Phillips and of singer Claudia Phillips, who was a one-hit wonder in France in 1987 with ""Quel souci La Boétie"".","San Francisco, California, U.S.",37.0,-120.0,1934.0
605,http://dbpedia.org/resource/Barry_Galbraith,Barry Galbraith,"Joseph Barry Galbraith (December 18, 1919 – January 13, 1983) was an American jazz guitarist. Galbraith moved to New York City from Vermont in the early 1940s and found work playing with Babe Russin, Art Tatum, Red Norvo, Hal McIntyre, and Teddy Powell. He played with Claude Thornhill in 1941–42 and again in 1946–49 after serving in the Army. He did a tour with Stan Kenton in 1953.","Joseph Barry Galbraith (December 18, 1919 – January 13, 1983) was an American jazz guitarist. Galbraith moved to New York City from Vermont in the early 1940s and found work playing with Babe Russin, Art Tatum, Red Norvo, Hal McIntyre, and Teddy Powell. He played with Claude Thornhill in 1941–42 and again in 1946–49 after serving in the Army. He did a tour with Stan Kenton in 1953. Galbraith did extensive work as a studio musician for NBC and CBS in the 1950s and 1960s; among those he played with were Miles Davis, Michel Legrand, Tal Farlow, Coleman Hawkins, George Barnes (musician), John Lewis, Hal McKusick, Oscar Peterson, Max Roach, George Russell, John Carisi, and Tony Scott. He also accompanied the singers Anita O'Day, Chris Connor, Billie Holiday, Helen Merrill, Sarah Vaughan and Dinah Washington on record. He was a mentor to Ralph Patt. In 1961 he appeared in the film . In 1963-64 he played on Gil Evans's album The Individualism of Gil Evans, and in 1965 he appeared on Stan Getz and Eddie Sauter's soundtrack to the 1965 film Mickey One. From 1970 to 1975 he taught at CUNY and published a guitar method book in 1982. From 1976–77 Galbraith taught guitar at New England Conservatory in Boston.","Pittsburgh, Pennsylvania, United States",40.4397,-79.9764,1919.0
607,http://dbpedia.org/resource/Barry_Rogers,Barry Rogers,"Barron W. ""Barry"" Rogers (May 22, 1935 – April 18, 1991) was an American jazz and salsa trombonist.","Barron W. ""Barry"" Rogers (May 22, 1935 – April 18, 1991) was an American jazz and salsa trombonist.","The Bronx, New York",40.8372,-73.8861,1935.0
608,http://dbpedia.org/resource/Bart_Stenhouse,Bart Stenhouse,"Bart John R Stenhouse (born 15 February 1984, Brisbane, Queensland, Australia) is an Australian jazz fusion musician and teacher. He fuses jazz with elements of rock, flamenco, blues and Indian classical music. He formed the Bart Stenhouse Group to perform his work. In 2014 he issued a studio album, Blue Benares, with Abe Stewart, a percussionist. Stenhouse followed by in 2015, two further albums with the jazz fusion band, the Bart Stenhouse Group, these were Five Days in Granada and The Best of Times. He also teaches music and is a record producer.","Bart John R Stenhouse (born 15 February 1984, Brisbane, Queensland, Australia) is an Australian jazz fusion musician and teacher. He fuses jazz with elements of rock, flamenco, blues and Indian classical music. He formed the Bart Stenhouse Group to perform his work. In 2014 he issued a studio album, Blue Benares, with Abe Stewart, a percussionist. Stenhouse followed by in 2015, two further albums with the jazz fusion band, the Bart Stenhouse Group, these were Five Days in Granada and The Best of Times. He also teaches music and is a record producer.","Brisbane, Queensland, Australia",-27.4678,153.028,1984.0
609,http://dbpedia.org/resource/Basil_Coetzee,Basil Coetzee,"Basil ""Manenberg"" Coetzee (2 February 1944 – 11 March 1998) was a South African musician, perhaps best known as a saxophonist.","Basil ""Manenberg"" Coetzee (2 February 1944 – 11 March 1998) was a South African musician, perhaps best known as a saxophonist.",http://dbpedia.org/resource/Cape_Town,-33.9253,18.4239,1944.0
615,http://dbpedia.org/resource/Bea_Booze,Bea Booze,"Bea Booze (March 23, 1912 – November 11, 1986), often credited as Wee Bea Booze, was an American R&B and jazz singer most popular in the 1940s.","Bea Booze (March 23, 1912 – November 11, 1986), often credited as Wee Bea Booze, was an American R&B and jazz singer most popular in the 1940s.","Baltimore, Maryland, United States",39.2833,-76.6167,1912.0
619,http://dbpedia.org/resource/Beate_S._Lech,Beate S. Lech,"Beate Slettevoll Lech (born 10 April 1974 in Volda, Møre og Romsdal, Norway) is a Norwegian jazz singer, composer and lyricist in modern jazz and related music, raised in Øvre Årdal, Sogn og Fjordane. She grew up in Volda, Møre og Romsdal as daughter of the Polish jazz violinist Zdzislaw Lech, known from bands like ""Folk & Røvere"", Jon Eberson's band  (two albums and appearance at Moldejazz 1999), and Beady Belle with her husband jazz bassist Marius Reksjø, and has attracted attention in concerts internationally.","Beate Slettevoll Lech (born 10 April 1974 in Volda, Møre og Romsdal, Norway) is a Norwegian jazz singer, composer and lyricist in modern jazz and related music, raised in Øvre Årdal, Sogn og Fjordane. She grew up in Volda, Møre og Romsdal as daughter of the Polish jazz violinist Zdzislaw Lech, known from bands like ""Folk & Røvere"", Jon Eberson's band  (two albums and appearance at Moldejazz 1999), and Beady Belle with her husband jazz bassist Marius Reksjø, and has attracted attention in concerts internationally.",http://dbpedia.org/resource/Volda,62.0878,6.01417,1974.0
623,http://dbpedia.org/resource/Becca_Stevens,Becca Stevens,"Becca Stevens (born June 14, 1984) is an American singer, songwriter, and guitarist who draws upon elements of jazz, chamber-pop, indie-rock, and folk.She has worked with Jacob Collier, Laura Mvula, Billy Childs, David Crosby, Taylor Eigsti, Timo Andres, and Brad Mehldau, and Snarky Puppy. She was a member of the band Tillery with Gretchen Parlato and Rebecca Martin.","Becca Stevens (born June 14, 1984) is an American singer, songwriter, and guitarist who draws upon elements of jazz, chamber-pop, indie-rock, and folk.She has worked with Jacob Collier, Laura Mvula, Billy Childs, David Crosby, Taylor Eigsti, Timo Andres, and Brad Mehldau, and Snarky Puppy. She was a member of the band Tillery with Gretchen Parlato and Rebecca Martin.","Winston-Salem, North Carolina, U.S.",36.1028,-80.2605,1984.0
624,http://dbpedia.org/resource/Beegie_Adair,Beegie Adair,"Bobbe Gorin (BG) ""Beegie"" Adair, née Long (born December 11, 1937 in Cave City, Barren County, Kentucky, United States), is an American jazz pianist. Beginning piano lessons at age five, she continued to study piano and received her B.S. in music at Western Kentucky University. She moved to Nashville, Tennessee, where she did graduate work at Peabody College and became a session musician working at WSM-TV and on ""The Johnny Cash Show"" (1969-71), where she accompanied such legendary performers as Chet Atkins, Dolly Parton, Lucille Ball, Steve Allen, Dinah Shore, Mama Cass Elliott, and Peggy Lee. She formed the Beegie Adair Trio, which has sold over 1.5 million albums.","Bobbe Gorin (BG) ""Beegie"" Adair, née Long (born December 11, 1937 in Cave City, Barren County, Kentucky, United States), is an American jazz pianist. Beginning piano lessons at age five, she continued to study piano and received her B.S. in music at Western Kentucky University. She moved to Nashville, Tennessee, where she did graduate work at Peabody College and became a session musician working at WSM-TV and on ""The Johnny Cash Show"" (1969-71), where she accompanied such legendary performers as Chet Atkins, Dolly Parton, Lucille Ball, Steve Allen, Dinah Shore, Mama Cass Elliott, and Peggy Lee. She formed the Beegie Adair Trio, which has sold over 1.5 million albums.","Barren County, Kentucky, United States",36.96,-85.93,1937.0
625,http://dbpedia.org/resource/Ben_Allison,Ben Allison,"Ben Allison (born November 17, 1966) is an American double bassist, composer, producer, bandleader, educator. In addition to his work as a performer, he co-founded the non-profit Jazz Composers Collective and served as its Artistic Director for twelve years. Allison is an adjunct professor at New School University and serves on the board of the New York chapter of the National Academy of Recording Arts and Sciences, where he serves as President.","Ben Allison (born November 17, 1966) is an American double bassist, composer, producer, bandleader, educator. In addition to his work as a performer, he co-founded the non-profit Jazz Composers Collective and served as its Artistic Director for twelve years. Allison is an adjunct professor at New School University and serves on the board of the New York chapter of the National Academy of Recording Arts and Sciences, where he serves as President.","New Haven, Connecticut, U.S.",41.31,-72.9236,1966.0
626,http://dbpedia.org/resource/Ben_Bernie,Ben Bernie,"Ben Bernie (May 30, 1891 – October 23, 1943), was an American jazz violinist, bandleader, and radio personality, often introduced as ""The Old Maestro"". He was noted for his showmanship and memorable bits of snappy dialogue, being part of the first generation of ""stars"" of American popular music, alongside other artists such as Paul Whiteman (a fellow violinist and bandleader), Ted Lewis and Al Jolson.","Ben Bernie (May 30, 1891 – October 23, 1943), was an American jazz violinist, bandleader, and radio personality, often introduced as ""The Old Maestro"". He was noted for his showmanship and memorable bits of snappy dialogue, being part of the first generation of ""stars"" of American popular music, alongside other artists such as Paul Whiteman (a fellow violinist and bandleader), Ted Lewis and Al Jolson.","Bayonne, New Jersey, U.S.",40.6625,-74.1102,1891.0
627,http://dbpedia.org/resource/Ben_Dixon_(musician),Ben Dixon,"Ben Dixon (born 25 December 1934 in Gaffney, South Carolina; died 8 November 2018) was an American jazz drummer. Dixon is best known for his contributions to many soul jazz albums on the Blue Note label led by Grant Green, Lou Donaldson and Big John Patton. He died in 2018.","Ben Dixon (born 25 December 1934 in Gaffney, South Carolina; died 8 November 2018) was an American jazz drummer. Dixon is best known for his contributions to many soul jazz albums on the Blue Note label led by Grant Green, Lou Donaldson and Big John Patton. He died in 2018.",http://dbpedia.org/resource/United_States,40.0,-100.0,1934.0
633,http://dbpedia.org/resource/Ben_Eunson,Ben Eunson,"Ben Eunson (born 19 December 1989) is an Australian guitarist. Described by Guitar Player as “innovative” and having “already had the career of a seasoned veteran”, Eunson released his EP ""Autumn"" in 2015, followed by his debut solo album ""ACE"" in 2019.","Ben Eunson (born 19 December 1989) is an Australian guitarist. Described by Guitar Player as “innovative” and having “already had the career of a seasoned veteran”, Eunson released his EP ""Autumn"" in 2015, followed by his debut solo album ""ACE"" in 2019.",http://dbpedia.org/resource/Australia,-35.3081,133.0,1989.0
643,http://dbpedia.org/resource/Ben_Goldberg,Ben Goldberg,Ben Goldberg is an American clarinet player and composer.,Ben Goldberg is an American clarinet player and composer.,"Denver, Colorado, United States",39.7392,-104.99,1959.0
644,http://dbpedia.org/resource/Ben_Pollack,Ben Pollack,"Ben Pollack (June 22, 1903 – June 7, 1971) was an American drummer and bandleader from the mid-1920s through the swing era. His eye for talent led him to employ musicians such as Benny Goodman, Jack Teagarden, Glenn Miller, Jimmy McPartland, and Harry James. This ability earned him the nickname the ""Father of Swing"".","Ben Pollack (June 22, 1903 – June 7, 1971) was an American drummer and bandleader from the mid-1920s through the swing era. His eye for talent led him to employ musicians such as Benny Goodman, Jack Teagarden, Glenn Miller, Jimmy McPartland, and Harry James. This ability earned him the nickname the ""Father of Swing"".","Chicago, Illinois, U.S.",41.8219,-87.703,1903.0
649,http://dbpedia.org/resource/Ben_Riley,Ben Riley,"Benjamin Alexander Riley Jr. (July 17, 1933 – November 18, 2017) was an American jazz drummer known for his work with Thelonious Monk, as well as Alice Coltrane, Stan Getz, Eddie ""Lockjaw"" Davis, Ahmad Jamal, and as a member of the group Sphere. During the 1970s and 1980s he was a member of the New York Jazz Quartet.","Benjamin Alexander Riley Jr. (July 17, 1933 – November 18, 2017) was an American jazz drummer known for his work with Thelonious Monk, as well as Alice Coltrane, Stan Getz, Eddie ""Lockjaw"" Davis, Ahmad Jamal, and as a member of the group Sphere. During the 1970s and 1980s he was a member of the New York Jazz Quartet.","Savannah, Georgia, U.S.",32.0167,-81.1167,1933.0
650,http://dbpedia.org/resource/Ben_Selvin,Ben Selvin,"Benjamin Bernard Selvin (March 5, 1898 – July 15, 1980) was an American musician, bandleader, and record producer. He was known as the Dean of Recorded Music. Selvin was the son of Jewish Russian immigrants. He started his professional life at age 15 as a fiddle player in New York City night clubs. Six years later, as leader of his own dance band, the Novelty Orchestra, he released what was later alleged to be the biggest-selling popular song in the first quarter-century of recorded music. ""Dardanella"" allegedly sold more than six million copies and an additional million pieces of sheet music—although in a joint interview with Gustave Haenschen, founding director of popular-music releases at Brunswick Records, Selvin described the alleged record-sales total as “nonsensical” and said the ac","Benjamin Bernard Selvin (March 5, 1898 – July 15, 1980) was an American musician, bandleader, and record producer. He was known as the Dean of Recorded Music. Selvin was the son of Jewish Russian immigrants. He started his professional life at age 15 as a fiddle player in New York City night clubs. Six years later, as leader of his own dance band, the Novelty Orchestra, he released what was later alleged to be the biggest-selling popular song in the first quarter-century of recorded music. ""Dardanella"" allegedly sold more than six million copies and an additional million pieces of sheet music—although in a joint interview with Gustave Haenschen, founding director of popular-music releases at Brunswick Records, Selvin described the alleged record-sales total as “nonsensical” and said the actual sales of “Dardanella” and other purported “million-sellers” in the 1920s was 150,000 discs. He was awarded a gold disc by the Recording Industry Association of America (RIAA) that was presented to Selvin on his retirement on March 14, 1963. According to The Guinness Book of World Records, Selvin recorded more musical sides (on 78-rpm discs) than any other person. One reason for this prolific output is that he recorded for dozens of different record labels during this productive time in the industry, using a different name for each label. His output has been estimated at 13,000 to 20,000 song titles.",New York City,40.7127,-74.006,1898.0
